timestamp,usedPEs,jobsRunning,JobsInLongQueue,JobsInMediumQueue
1.39661957825E9,144,1,0,0
1.39662459325E9,576,4,0,2
1.39663026425E9,576,4,0,1
1.39663392625E9,576,4,1,1
1.39663821025E9,296,4,0,0
1.39664193125E9,148,2,0,0
1.39664619325E9,144,1,0,0
1.39696809325E9,144,1,0,0
1.39698183325E9,576,4,0,6
1.39698545025E9,576,4,0,2
1.39698906125E9,576,4,0,2
1.39699268225E9,576,4,0,2
1.39699672425E9,432,3,0,0
1.39700275325E9,288,2,0,0
1.39700636625E9,288,2,0,0
1.39706098925E9,24,1,0,0
1.39715402925E9,24,1,0,0
1.39715822825E9,96,3,0,0
1.39716321025E9,144,3,0,0
1.39716704125E9,48,2,0,0
1.39717127925E9,120,5,0,0
1.39717581725E9,96,4,0,0
1.39717982825E9,96,4,0,0
1.39718422825E9,96,4,0,0
1.39718841025E9,24,1,0,0
1.39719224125E9,24,1,0,0
1.39719586025E9,24,1,0,0
1.39722744625E9,12,1,0,0
1.39723173725E9,156,9,0,0
1.39723582825E9,156,9,0,0
1.39724302825E9,156,9,0,0
1.39724855425E9,156,9,0,0
1.39725224425E9,159,12,0,0
1.39725584525E9,159,12,0,0
1.39725947725E9,159,12,0,0
1.39726313625E9,159,12,0,0
1.39726676125E9,207,13,0,0
1.39727043025E9,207,13,0,0
1.39727406925E9,195,12,0,0
1.39727771925E9,195,12,0,0
1.39728134525E9,194,11,0,0
1.39728494925E9,182,10,0,0
1.39728855025E9,157,7,0,0
1.39729218225E9,156,6,0,0
1.39729580925E9,156,6,0,0
1.39729942425E9,156,6,0,0
1.39730303925E9,156,6,0,0
1.39730667725E9,156,6,0,0
1.39731030225E9,156,6,0,0
1.39731391625E9,108,5,0,0
1.39731752125E9,60,3,0,0
1.39732112425E9,60,3,0,0
1.3973247315E9,108,5,0,0
1.39732833525E9,96,4,0,0
1.39733195025E9,96,4,0,0
1.39733555675E9,96,4,0,0
1.39733919225E9,168,5,0,0
1.39734279325E9,168,5,0,0
1.39734640725E9,168,5,0,0
1.39735001025E9,168,5,0,0
1.39735362425E9,96,4,0,0
1.39735723025E9,156,5,0,0
1.39736083625E9,157,6,0,0
1.39736443725E9,110,5,0,0
1.39736803925E9,50,4,0,0
1.39737165425E9,51,5,0,0
1.39737526325E9,51,5,0,0
1.39737887025E9,51,5,0,0
1.39738247825E9,51,5,0,0
1.39738609525E9,51,5,0,0
1.39738969925E9,51,5,0,0
1.39739330825E9,49,3,0,0
1.39739693225E9,49,3,0,0
1.39740053625E9,49,3,0,0
1.39740414825E9,49,3,0,0
1.39740774925E9,49,3,0,0
1.39741135325E9,48,2,0,0
1.39741497825E9,73,4,0,0
1.39741859125E9,72,3,0,0
1.39742219825E9,48,2,0,0
1.39742580425E9,48,2,0,0
1.39742940925E9,48,2,0,0
1.39743301325E9,48,2,0,0
1.39743663625E9,48,2,0,0
1.39744024025E9,72,3,0,0
1.39744384825E9,120,4,0,0
1.39744746725E9,120,4,0,0
1.39745108025E9,120,4,0,0
1.39745468125E9,120,4,0,0
1.39745828425E9,73,4,0,0
1.39746189225E9,72,3,0,0
1.39746551025E9,121,5,0,0
1.39746912325E9,121,5,0,0
1.39747272725E9,121,5,0,0
1.39747633525E9,121,5,0,0
1.39747993925E9,73,4,0,0
1.39748354725E9,73,4,0,0
1.39748714825E9,145,7,0,0
1.39749076025E9,133,6,0,0
1.39749436425E9,157,8,0,0
1.39749796525E9,216,11,0,0
1.39750158325E9,205,11,0,0
1.39750519225E9,205,11,0,0
1.39750880225E9,204,10,0,0
1.39751240825E9,157,10,0,0
1.39751602425E9,134,10,0,0
1.39751962625E9,181,11,0,0
1.39752323425E9,181,11,0,0
1.39752683825E9,182,12,0,0
1.39753043925E9,182,12,0,0
1.39753404825E9,181,11,0,0
1.39753765125E9,182,12,0,0
1.39754125725E9,182,12,0,0
1.39754485825E9,181,11,0,0
1.39754845925E9,181,11,0,0
1.39755206025E9,158,11,0,0
1.39755566725E9,157,10,0,0
1.39755927325E9,158,11,0,0
1.39756287425E9,134,10,0,0
1.39756648125E9,109,7,0,0
1.39757008325E9,110,8,0,0
1.39757368425E9,110,8,0,0
1.39757728825E9,110,8,0,0
1.39758089625E9,110,8,0,0
1.39758449725E9,86,7,0,0
1.39758809825E9,62,6,0,0
1.39759170025E9,62,6,0,0
1.39759530125E9,62,6,0,0
1.39759890725E9,62,6,0,0
1.39760251225E9,62,6,0,0
1.39760611825E9,62,6,0,0
1.39760973025E9,62,6,0,0
1.39761333425E9,61,5,0,0
1.39761693525E9,61,5,0,0
1.39762053625E9,61,5,0,0
1.39762413725E9,61,5,0,0
1.39762773825E9,61,5,0,0
1.39763134525E9,49,4,0,0
1.39763494725E9,49,4,0,0
1.39763855025E9,49,4,0,0
1.39764216225E9,49,4,0,0
1.39764576325E9,49,4,0,0
1.39764936525E9,24,2,0,0
1.39765297125E9,25,3,0,0
1.39765657525E9,25,3,0,0
1.39766017925E9,25,3,0,0
1.39766378525E9,37,4,0,0
1.39766738825E9,49,5,0,0
1.39767099425E9,37,4,0,0
1.39767460525E9,37,4,0,0
1.39767821125E9,37,4,0,0
1.39768181225E9,85,6,0,0
1.39768542425E9,85,6,0,0
1.39768903125E9,85,6,0,0
1.39769263325E9,85,6,0,0
1.39769624625E9,85,6,0,0
1.39769985025E9,133,7,0,0
1.39770345225E9,133,7,0,0
1.39770705325E9,133,7,0,0
1.39771066125E9,133,7,0,0
1.39771426725E9,132,6,0,0
1.39771786825E9,133,7,0,0
1.39772146925E9,97,4,0,0
1.39772508425E9,97,4,0,0
1.39772869025E9,97,4,0,0
1.39773229125E9,97,4,0,0
1.39773589225E9,97,4,0,0
1.39773949525E9,73,3,0,0
1.39774310325E9,97,4,0,0
1.39774670725E9,121,5,0,0
1.39775030925E9,121,5,0,0
1.39775391425E9,169,6,0,0
1.39775751925E9,265,9,0,0
1.39776112025E9,217,7,0,0
1.39776472125E9,289,10,0,0
1.39776832525E9,289,10,0,0
1.39777192725E9,289,10,0,0
1.39777553025E9,288,9,0,0
1.39777913225E9,288,9,0,0
1.39778273725E9,288,9,0,0
1.39778634125E9,288,9,0,0
1.39778994325E9,288,9,0,0
1.39779355325E9,288,9,0,0
1.39779715825E9,288,9,0,0
1.39780076125E9,288,9,0,0
1.39780437125E9,288,9,0,0
1.39780797325E9,288,9,0,0
1.39781158025E9,288,9,0,0
1.39781518725E9,288,9,0,0
1.39781879225E9,264,8,0,0
1.39782239325E9,264,8,0,0
1.39782599425E9,264,8,0,0
1.39782959625E9,216,7,0,0
1.3978331965E9,168,6,0,0
1.39783681325E9,144,5,0,0
1.39784041725E9,144,5,0,0
1.39784401825E9,144,5,0,0
1.39784762025E9,144,5,0,0
1.39785123825E9,144,5,0,0
1.39785484125E9,144,5,0,0
1.39785844525E9,144,5,0,0
1.39786204825E9,120,4,0,0
1.39786564925E9,168,6,0,0
1.39786925525E9,168,6,0,0
1.39787285625E9,168,6,0,0
1.39787645925E9,144,5,0,0
1.39788007225E9,144,5,0,0
1.39788367425E9,120,4,0,0
1.39788727725E9,120,4,0,0
1.39789087925E9,120,4,0,0
1.39789448225E9,96,3,0,0
1.39789808325E9,96,3,0,0
1.39790168525E9,96,3,0,0
1.39790528625E9,96,3,0,0
1.39790889125E9,96,3,0,0
1.39791249325E9,96,3,0,0
1.39791609425E9,48,2,0,0
1.39791969725E9,48,2,0,0
1.39792330525E9,48,2,0,0
1.39792690625E9,48,2,0,0
1.39793050825E9,96,4,0,0
1.39793411125E9,96,4,0,0
1.39793771625E9,96,4,0,0
1.39794131825E9,120,5,0,0
1.39794492825E9,96,4,0,0
1.39794853725E9,96,4,0,0
1.39795214425E9,120,5,0,0
1.39795574925E9,72,3,0,0
1.39795935025E9,48,2,0,0
1.39796295225E9,48,2,0,0
1.39796655425E9,96,4,0,0
1.39797015525E9,96,4,0,0
1.39797375825E9,72,3,0,0
1.39797736225E9,72,3,0,0
1.39798096325E9,72,3,0,0
1.39798456425E9,72,3,0,0
1.39798816725E9,48,2,0,0
1.39799177125E9,48,2,0,0
1.39799537325E9,48,2,0,0
1.39799897625E9,48,2,0,0
1.39800258025E9,48,2,0,0
1.39800618325E9,48,2,0,0
1.39800978625E9,48,2,0,0
1.39801339225E9,48,2,0,0
1.39801699525E9,24,1,0,0
